,Hora,Tipo Dia,Energia PBA,Clima PBA,Energia GBA,Clima GBA,Año,Mes
327,15.0,1.0,1417.0,18.9,4269.5,19.2,2018.0,1.0
328,16.0,1.0,1407.2,18.5,4186.7,19.8,2018.0,1.0
329,17.0,1.0,1433.7,18.2,4174.7,20.1,2018.0,1.0
330,18.0,1.0,1439.9,18.2,4218.3,20.5,2018.0,1.0
331,19.0,1.0,1454.1,17.9,4304.1,18.2,2018.0,1.0
332,20.0,1.0,1489.7,17.6,4423.9,18.4,2018.0,1.0
333,21.0,1.0,1656.5,17.2,4945.2,18.3,2018.0,1.0
334,22.0,1.0,1745.5,17.0,5171.0,18.2,2018.0,1.0
335,23.0,1.0,1686.8,16.2,4976.0,18.0,2018.0,1.0
336,0.0,2.0,1631.1,16.4,4641.6,17.7,2018.0,1.0
337,1.0,2.0,1571.9,16.0,4287.9,16.9,2018.0,1.0
338,2.0,2.0,1504.9,15.6,3997.8,16.4,2018.0,1.0
339,3.0,2.0,1449.7,15.8,3790.9,16.3,2018.0,1.0
340,4.0,2.0,1417.9,12.4,3721.7,16.1,2018.0,1.0
341,5.0,2.0,1405.0,11.8,3727.8,15.8,2018.0,1.0
342,6.0,2.0,1366.8,12.2,3829.4,16.0,2018.0,1.0
343,7.0,2.0,1315.2,13.8,3917.4,16.5,2018.0,1.0
344,8.0,2.0,1368.7,16.2,4288.1,16.9,2018.0,1.0
345,9.0,2.0,1424.9,18.3,4745.5,18.6,2018.0,1.0
346,10.0,2.0,1507.6,19.7,5164.9,21.4,2018.0,1.0
347,11.0,2.0,1571.4,19.6,5451.7,23.0,2018.0,1.0
348,12.0,2.0,1599.1,20.4,5664.3,25.4,2018.0,1.0
349,13.0,2.0,1650.2,20.5,5834.6,25.9,2018.0,1.0
350,14.0,2.0,1666.7,20.3,5955.4,27.0,2018.0,1.0
351,15.0,2.0,1660.6,20.2,6033.9,27.1,2018.0,1.0
352,16.0,2.0,1672.2,19.4,6057.5,26.9,2018.0,1.0
353,17.0,2.0,1693.1,19.9,6059.6,26.0,2018.0,1.0
354,18.0,2.0,1715.6,19.5,5923.0,25.4,2018.0,1.0
355,19.0,2.0,1712.4,18.8,5699.7,24.2,2018.0,1.0
356,20.0,2.0,1707.5,17.7,5588.6,22.0,2018.0,1.0
357,21.0,2.0,1827.0,15.8,6070.2,22.5,2018.0,1.0
358,22.0,2.0,1917.3,15.0,6259.6,22.4,2018.0,1.0
359,23.0,2.0,1874.0,14.0,5928.0,22.2,2018.0,1.0
360,0.0,3.0,1793.5,12.8,5471.8,22.1,2018.0,1.0
361,1.0,3.0,1696.6,12.1,5024.2,22.1,2018.0,1.0
362,2.0,3.0,1609.1,11.3,4681.4,22.0,2018.0,1.0
363,3.0,3.0,1562.6,9.6,4457.6,21.6,2018.0,1.0
364,4.0,3.0,1526.6,10.2,4345.8,21.4,2018.0,1.0
365,5.0,3.0,1524.5,10.3,4296.2,21.1,2018.0,1.0
366,6.0,3.0,1505.5,10.2,4336.9,20.8,2018.0,1.0
367,7.0,3.0,1445.7,12.2,4379.2,21.8,2018.0,1.0
